UMAP1_PC50,UMAP2_PC50,UMAP1_PC75,UMAP2_PC75,UMAP1_PC100,UMAP2_PC100,UMAP1_PC125,UMAP2_PC125,UMAP1_PC150,UMAP2_PC150,UMAP1_PC175,UMAP2_PC175
-2.7634408,-4.0397534,10.582558,15.786665,12.200647,16.456854,19.216162,12.928316,-4.6216335,-4.9285374,-5.8867455,-5.2932196
-2.645595,-5.939134,9.915503,17.504189,11.455696,18.392935,19.235056,15.107496,-3.4057925,-6.879628,-5.3494706,-7.114378
2.3399858,-4.4325686,5.6047034,14.737108,7.199481,16.0891,14.0878725,14.324903,1.2081354,-3.1158695,-0.9646089,-2.9784143
-3.1793532,-3.3856173,11.088141,15.228697,12.4296055,16.08068,19.413857,12.540964,-3.9593859,-4.6342263,-6.288083,-4.9828086
-0.08594187,-5.166793,7.5644407,16.28077,9.11662,17.267334,16.31336,15.06317,0.10744791,-4.9066668,-2.5927148,-4.830382
-1.2274408,-4.1549115,8.92259,15.590851,10.57869,16.405579,17.537783,13.708,-1.9500992,-5.2971153,-4.1316905,-5.4313216
2.0459204,-3.2648757,5.59062,14.303643,6.8416057,15.9142275,13.961968,14.045031,1.2020453,-3.0977957,-1.8799771,-2.561925
-2.9527838,-3.0235171,11.086143,14.992144,13.042476,15.810537,19.453493,12.409646,-3.3243246,-4.1121917,-5.692934,-4.588465
-1.4677484,-2.1138656,9.520586,13.78066,10.876385,14.803606,17.296618,12.04703,-2.4031816,-3.3842456,-4.858888,-3.5388157
0.5169173,-4.674824,7.1594234,15.609887,8.84337,16.787508,15.985913,14.604164,0.23301566,-4.3938847,-2.4234917,-4.324288
2.1181839,-1.5895982,6.688435,12.371132,7.7394586,13.692422,14.118878,11.822858,0.12518282,-1.1162955,-2.9332354,-0.94148713
-0.18233036,-4.0173893,7.979343,15.271349,9.439073,16.094366,16.508068,13.9408,-0.7700922,-4.2132897,-3.1678762,-4.223657
-1.9676992,-0.9488903,10.556999,12.126032,11.724382,13.138297,17.463545,10.177035,-3.5071392,-1.67592,-6.4121532,-2.1001964
